xmin,ymin,xmax,ymax,confidence,class,timestamp,classifier
106,366.7709351,264.8011475,448.5722046,548.6995239,0.7763971686,0,39,pruned_quant-aggressive_98
107,302.1302185,351.1731262,395.4926453,543.4723511,0.5782583356,16,39,pruned_quant-aggressive_98
108,203.3206787,95.15875244,384.5500488,641.737915,0.9055199623,0,40,pruned_quant-aggressive_98
109,366.4243774,261.692749,448.9783325,546.3562012,0.7496011257,0,40,pruned_quant-aggressive_98
110,203.3551636,94.16217041,384.137207,641.4442139,0.9088231325,0,41,pruned_quant-aggressive_98
111,366.6178284,259.2589111,448.985199,545.2332764,0.7765315771,0,41,pruned_quant-aggressive_98
112,299.7418823,351.3001099,395.8773193,543.942627,0.5946970582,16,41,pruned_quant-aggressive_98
113,203.938324,93.19668579,382.7810974,641.2651367,0.9093792439,0,42,pruned_quant-aggressive_98
114,365.7517395,257.7116699,449.037262,543.5129395,0.7626225948,0,42,pruned_quant-aggressive_98
115,299.3507996,359.7279053,395.9029846,541.1849365,0.4901005328,16,42,pruned_quant-aggressive_98
116,205.5493927,91.96902466,385.0375366,639.8930664,0.9134774804,0,43,pruned_quant-aggressive_98
117,365.5668335,256.1118774,447.7608643,541.8406982,0.760010004,0,43,pruned_quant-aggressive_98
118,207.5620422,88.47320557,388.9878235,640.5478516,0.905295074,0,44,pruned_quant-aggressive_98
119,364.0458069,254.1590118,447.8315735,540.9311523,0.7537637353,0,44,pruned_quant-aggressive_98
120,207.6785889,89.31524658,392.7051392,641.418396,0.8967756629,0,45,pruned_quant-aggressive_98
121,363.43927,256.8733215,445.7703857,543.4060059,0.7553189397,0,45,pruned_quant-aggressive_98
122,207.9520264,96.06170654,391.52771,641.3398438,0.9002559185,0,46,pruned_quant-aggressive_98
123,362.9228516,259.1477966,443.7004395,546.4311523,0.7443756461,0,46,pruned_quant-aggressive_98
124,210.0666351,96.28619385,386.2415161,639.4247437,0.9061768651,0,47,pruned_quant-aggressive_98
125,362.5021362,261.8011475,443.8203735,547.8019409,0.7557666302,0,47,pruned_quant-aggressive_98
